FUND,NAME_TH,NAME_EN,CODE,TOTALASSET,NAV
KASSET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์เมเจอร์ ซีนีเพล็กซ์ ไลฟ์สไตล์,Major Cineplex Lifestyle Leasehold Property Fund,MJLF,4008653353,12.1474
KASSET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์โรงแรมและรีสอร์ทในเครือเซ็นทารา,Centara Hotels & Resorts Leasehold Property Fund,CTARAF,3248834281,10.1526
KASSET,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์โกลด์,Gold Property Fund (Lease Hold),GOLDPF,2269067324,11.0148
KASSET,กองทุนรวมอสังหาริมทรัพย์เคพีเอ็น,KPN Property Fund,KPNPF,1837953893,10.2108
KASSET,กองทุนรวมอสังหาริมทรัพย์ดับบลิวเอชเอ พรีเมี่ยม แฟคทอรี่แอนด์แวร์เฮ้าส์ ฟันด์,WHA Premium Factory and Warehouse Property Fund,WHAPF,9673426738,10.3011
KTAM,รีเจนท์โกลด์พร็อพเพอร์ตี้ฟันด์,Regent Gold Property Fund,RGPF,20750080930,25.3412
KTAM,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ ซี.พี.ทาวเวอร์ โกรท,C.P. TOWER GROWTH LEASEHOLD PROPERTY FUND,CPTGF,10051193592,10.3942
KTAM,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ตลาดไท,Talaad Thai Leashold Property Fund,TTLPF,1916514878,10.6473
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องโรยัล เรซสิเดนซ์,Royal Residence Property and Loan Fund,RRPLF,3758954496,41.3071
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องเอเวอร์กรีนแลนด์,Evergreen Land Property and Loan Fund,ELPLF,3444536266,26.7225
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องเกรทโกลเด้น,Great Golden Property and Loan Fund,GGPLF,1832366846,27.3487
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องโกลเด้น อินดัสเทรียล,Golden Industrial Property and Loan Fund,GIPLF,863523808.4,14.2731
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องเบสท์ ฟอร์จูน,Best Fortune Property and Loan Fund,BFPLF,11177751252,23.6316
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องอัลติเมท ยูเนี่ยน,Ultimate Union Property and Loan Fund,UUPLF,1575768533,15.108
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องอิมพีเรียลเวลธ์,Imperial Wealth Property and Loan Fund,IWPLF,13481060806,23.2512
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องลีเชอร์เวิลด์,Leisure World Property and Loan Fund,LWPLF,10062448740,93.8661
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องกรีน เมโทรโพลิส,Green Metropolis Property and Loan Fund,GMPLF,6973744875,12.6336
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้องนิวโนเบิล,New Noble Property and Loan Fund,NNPLF,19428490186,35.5117
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเทสโก้ โลตัส รีเทล โกรท,Tesco Lotus Retail Growth Freehold and Leasehold Property Fund,TLGF,26482343132,11.3304
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ดุสิตธานี,Dusit Thani Freehold and Leasehold Property Fund,DTCPF,4369579375,10.6731
KTAM,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าไทยคอมเมอร์เชียลอินเวสเม้นต์,Thai Commercial Investment Freehold and Leasehold Fund,TCIF,2008670925,10.2483
KTAM,กองทุนรวมอสังหาริมทรัพย์ไทยรีเทล อินเวสเม้นต์,Thai Retail Investment Property Fund,TRIF,2617846830,10.5134
KTAM,กองทุนรวมธุรกิจไทย 4,The Thai Business Fund 4,TBF4,9595542735,9.4091
KTAM,กองทุนรวมธุรกิจไทย 5,Thai Business Property Fund 5,TBF5,725424260.8,3.2973
KSAM,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ เจซี,JC PROPERTY FUND,JCP,541910849.2,8.7405
KSAM,กองทุนรวมอสังหาริมทรัพย์ศาลาแอทสาทร,Sala @ Sathorn Property Fund,SSPF,1763566480,10.5602
LHFUND,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ เฮ้าส์,Quality Houses Property Fund,QHPF,8879726694,11.1414
LHFUND,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้อง แลนด์แอนด์เฮ้าส์-II,Land and Houses Property and Loan Fund-II,LHPF-II,1947416592,13.1059
LHFUND,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่า แลนด์ แอนด์ เฮ้าส์,Land and Houses Freehold and Leasehold Property Fund,LHPF,3487506751,10.5682
LHFUND,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่า ควอลิตี้ เฮ้าส์ โฮเทล แอนด์ เรซิเดนซ์,Quality Houses Hotel And Residence Freehold and Leasehold Property Fund,QHHR,4156908111,12.3717
MFC,กองทุนรวมเอ็มเอฟซี-สแตรทิจิกสโตเรจฟันด์,MFC-Strategic Storage Fund,M-STOR,705355832.7,11.6012
MFC,กองทุนรวมสยามรีสอร์ท,Siam Resort Fund,SRF,2944362177,36.5774
MFC,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี ป่าตอง เฮอริเทจ,MFC Patong Heritage Property Fund,M-PAT,1086945753,10.3518
MFC,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-นิชดาธานี,MFC-Nichada Thani Property Fund,MNIT,720710478.4,5.2225
MFC,กองทุนรวมอสังหาริมทรัพย์เอ็มเอฟซี-นิชดาธานี 2,MFC-Nichada Thani Property Fund 2,MNIT2,1054472300,10.4953
MFC,กองทุนรวมอสังหาริมทรัพย์มัลติเนชั่นแนลเรสซิเดนซ์ฟันด์,Multi-National Residence Fund,MNRF,1109559753,10.3214
MFC,กองทุนรวมอสังหาริมทรัพย์และสิทธิเรียกร้อง สยาม,Siam Property Fund and Claims,SPFC,944339010.8,17.5169
MFC,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเหมราชอินดัสเตรียล,Hemraj Industrial Property and Leasehold Fund,HPF,4817343892,10.2496
MFC,กองทุนรวมอสังหาริมทรัพย์และสิทธิการเช่าเอ็มเอฟซี อินดัสเตรียล อินเวสเมนท์,MFC Industrial Investment Property and Leasehold Fund,M-II,1623216840,9.4373
MFC,กองทุนรวมอสังหาริมทรัพย์เดอะคอลัมน์,The Column Property Fund,TCPF,2398128578,11.289
ONEAM,โครงการจัดการกองทุนรวมไทยเรียล เอสเตท รีสตรัคเจอริ่ง 1,Thai Real Estate Restructuring Fund 1,TRRF1,1527694997,15.9134
ONEAM,กองทุนรวมอสังหาริมทรัพย์ ไทยแลนด์ โฮสพีทาลิตี้,THAILAND HOSPITALITY PROPERTY FUND,TLHPF,1766759128,10.2718
ONEAM,กองทุนรวมอสังหาริมทรัพย์ ทรัพย์ศรีไทย สมาร์ท สโตเรจ,SUBSRITHAI SMART STORAGE PROPERTY FUND,SSTSS,843858356.5,10.2909
ONEAM,กองทุนรวมอสังหาริมทรัพย์มิลเลียนแนร์,MILLIONAIRE PROPERTY FUND,MIPF,2471883675,13.0099
ONEAM,กองทุนรวมอสังหาริมทรัพย์ยูนิลอฟท์,Uniloft Property Fund,UNIPF,532067064.5,10.3314
ONEAM,กองทุนรวมอสังหาริมทรัพย์ไทยอินดัสเตรียล 1,Thai Industrial Fund,TIF1,942416530.1,10.4712
ONEAM,กองทุนรวมอสังหาริมทรัพย์บางกอก,BANGKOK COMMERCIAL PROPERTY FUND,BKKCP,1230870419,12.3087
TMBAM,กองทุนรวมอสังหาริมทรัพย์ลักซ์ชัวรี่,Luxury Real Estate Investment Fund,LUXF,2185919093,11.1242
UOBAMTH,สิทธิการเช่าอสังหาริมทรัพย์ ที ยู โดม เรสซิเดนท์เชียล คอมเพล็กซ์,T.U. Dome Residential Complex Leasehold Property Fund,TU-PF,485954550.7,4.6623
UOBAMTH,กองทุนรวมสิทธิการเช่าอสังหาริมทรัพย์ควอลิตี้ ออสพิทอลลิตี้,Quality Hospitality Leasehold Property Fund,QHOP,1800054155,9.4095
UOBAMTH,กองทุนรวมอสังหาริมทรัพย์และสิทธิ เรียกร้องเอ็นรีช,Enrich Property and Loan Fund,ENRICH,2079571515,20.7957
ABERDEEN,กองทุนเปิด อเบอร์ดีน แคช ครีเอชั่น,Aberdeen Cash Creation Fund,ABCC,1753535089,17.3862
ABERDEEN,กองทุนเปิด อเบอร์ดีน อินคัม ครีเอชั่น,Aberdeen Income Creation,ABINC,858724794.5,10.9792
ABERDEEN,กองทุนเปิด อเบอร์ดีนแวลู,Aberdeen Value Fund,ABV,507709708.2,33.3933
ABERDEEN,กองทุนเปิด อเบอร์ดีนโกรท,Aberdeen Growth Fund,ABG,9556152288,108.324
ABERDEEN,กองทุนเปิด อเบอร์ดีนเฟล็กซิเบิ้ลแคปปิตอล,Aberdeen Flexible Capital Fund,ABFC,624015237,8.1743
ABERDEEN,กองทุนเปิด อเบอร์ดีนสมอลแค็พ,Aberdeen Small Cap Fund,ABSM,5606205006,45.6059
ABERDEEN,กองทุนเปิด อเบอร์ดีนสมาร์ทแคปปิตอลเพื่อการเลี้ยงชีพ,Aberdeen Smarty Capital Retirement Mutual Fund,ABSC-RMF,4361877866,81.9731
ABERDEEN,กองทุนเปิด อเบอร์ดีนสมาร์ทอินคัมเพื่อการเลี้ยงชีพ,Aberdeen Smart Income Retirement Mutual Fund,ABSI-RMF,468271040.2,12.2742
ABERDEEN,กองทุนเปิด อเบอร์ดีนสยามลีดเดอร์ส,Aberdeen Siam Leaders Fund,ABSL,955335100.1,41.5714
ABERDEEN,กองทุนเปิด อเบอร์ดีนหุ้นระยะยาว,Aberdeen Long Term Equity Fund,ABLTF,11357509073,42.4557
ABERDEEN,กองทุนเปิด อเบอร์ดีนไทย เอคควิตี้ ดีวิเด็น,Aberdeen Thai Equity Dividend Fund,ABTED,358909776.1,6.6888
ASSETFUND,กองทุนเปิด แอสเซท พลัส ตราสารหนี้,ASSET PLUS FIXED INCOME FUND,ASP,4354147205,16.0832
ASSETFUND,กองทุนเปิดแอสเซทพลัส SET50,Asset Plus SET50 Fund,ASP-SET50,18367221,17.8358
ASSETFUND,กองทุนเปิดแอสเซทพลัสแอ็คทีฟตราสารหนี้ 4,Asset Plus Active Fixed Income Fund 4,ASP-ACFIXED4,290448572.1,12.1932
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y1,Asset Plus AI Term Fund 2Y1,ASP-AITF2Y1,928221961.8,10.7908
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y2,Asset Plus AI Term Fund 2Y2,ASP-AITF2Y2,2461641312,10.5715
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y3,Asset Plus AI Term Fund 2Y3,ASP-AITF2Y3,1401021352,10.4928
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y4,Asset Plus AI Term Fund 2Y4,ASP-AITF2Y4,518631478.4,10.4469
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y5,Asset Plus AI Term Fund 2Y5,ASP-AITF2Y5,592053803.3,10.2404
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y6,Asset Plus AI Term Fund 2Y6,ASP-AITF2Y6,846135791,10.0993
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y7,Asset Plus AI Term Fund 2Y7,ASP-AITF2Y7,1088969664,10.0574
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y8,Asset Plus AI Term Fund 2Y8,ASP-AITF2Y8,759398709.5,10.0295
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 2Y9,Asset Plus AI Term Fund 2Y9,ASP-AITF2Y9,852103160.7,10.013
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 3Y1,Asset Plus AI Term Fund 3Y1,ASP-AITF3Y1,898750322.6,10.7552
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 3Y2,Asset Plus AI Term Fund 3Y2,ASP-AITF3Y2,731213920.3,10.5254
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 3Y3,Asset Plus AI Term Fund 3Y3,ASP-AITF3Y3,915948720.9,10.2015
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอเทิร์มฟันด์ 5Y1,Asset Plus AI Term Fund 5Y1,ASP-AITF5Y1,414716639.6,10.5801
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 1,Asset Plus AI Fixed Income Fund 1,ASP-AIF1,2418785098,11.0466
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 10,Asset Plus AI Fixed Income Fund 10,ASP-AIF10,673748896,10.5043
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 11,Asset Plus AI Fixed Income Fund 11,ASP-AIF11,540753047.3,10.216
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 12,Asset Plus AI Fixed Income Fund 12,ASP-AIF12,572697890.3,10.1022
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 2,Asset Plus AI Fixed Income Fund 2,ASP-AIF2,1272769712,10.3414
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 3,Asset Plus AI Fixed Income Fund 3,ASP-AIF3,1488592917,10.7082
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 4,Asset Plus AI Fixed Income Fund 4,ASP-AIF4,1485925986,10.7217
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 5,Asset Plus AI Fixed Income Fund 5,ASP-AIF5,1144692090,10.6859
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 6,Asset Plus AI Fixed Income Fund 6,ASP-AIF6,1224362535,10.6306
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 7,Asset Plus AI Fixed Income Fund 7,ASP-AIF7,1384713441,10.5961
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 8,Asset Plus AI Fixed Income Fund 8,ASP-AIF8,1168038366,10.5744
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอไอตราสารหนี้ 9,Asset Plus AI Fixed Income Fund 9,ASP-AIF9,801393609.7,10.5599
ASSETFUND,กองทุนเปิดแอสเซทพลัสเอชเอสไอ,Asset Plus HSI,ASP-HSI,50052638.64,13.2818
ASSETFUND,กองทุนเปิดแอสเซทพลัสโกลด์,Asset Plus Gold Fund,ASP-GOLD,128834845.2,12.6569
ASSETFUND,กองทุนเปิดแอสเซทพลัสหุ้นระยะยาว,Asset Plus Long-Term Equity Fund,ASP-LTF,275558120.9,15.9767
ASSETFUND,กองทุนเปิดแอสเซทพลัสหุ้นระยะยาวทวีกำไร,Asset Plus High Growth LTF,ASP-GLTF,207237459.9,22.0681
ASSETFUND,กองทุนเปิดแอสเซทพลัสกำไรปันผล,Asset Plus Growth Dividend Fund,ASP-GDF,55939349.83,9.9715
ASSETFUND,กองทุนเปิดแอสเซทพลัสตราสารหนี้ 2,Asset Plus Fixed Income Fund 2,ASP2,321863248.9,13.3689
ASSETFUND,กองทุนเปิดแอสเซทพลัสตราสารหนี้ทวีทรัพย์ 2,Asset Plus Taweesab Fixed Income Fund 2,ASP-TFIXED2,126556266.8,11.5637
ASSETFUND,กองทุนเปิดแอสเซทพลัสตราสารหนี้ทวีทรัพย์ 3,Asset Plus Taweesab Fixed Income Fund 3,ASP-TFIXED3,286911330.1,11.5944
ASSETFUND,กองทุนเปิดแอสเซทพลัสตราสารหนี้ทวีทรัพย์ 7,Asset Plus Taweesab Fixed Income Fund 7,ASP-TFIXED7,67975944.15,12.3788
ASSETFUND,กองทุนเปิดแอสเซทพลัสตราสารหนี้ทวีทรัพย์ 9,Asset Plus Taweesab Fixed Income Fund 9,ASP-TFIXED9,233450260.7,11.5323
ASSETFUND,กองทุนเปิดแอสเซทพลัสทวีเงินออม 1,Asset Plus Money Management Fund 1,ASP-MMF1,100140753.2,13.7919
ASSETFUND,กองทุนเปิดแอสเซทพลัสนิคเคอิ 225,Asset Plus Nikkei 225 Fund,ASP-NKY225,44039503.05,9.6688
BCAP,กองทุนเปิด BCAP MSCI THAILAND ETF,BCAP MSCI THAILAND ETF,BMSCITH,1094590975,10.6271
BBLAM,กองทุนรวมคนไทยใจดี,BKIND FUND,BKIND,1434930808,10.0733
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 16/16,Bualuang Thanasarn Plus 16/16,BP16/16,5102506977,10.0824
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 17/16,Bualuang Thanasarn Plus 17/16,BP17/16,3828559869,10.0732
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 18/16,Bualuang Thanasarn Plus 18/16,BP18/16,2590193965,10.0706
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 19/16,Bualuang Thanasarn Plus 19/16,BP19/16,2589083950,10.0684
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 20/16,Bualuang Thanasarn Plus 20/16,BP20/16,3732332283,10.0653
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 21/16,Bualuang Thanasarn Plus 21/16,BP21/16,4160695555,10.0545
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 22/16,Bualuang Thanasarn Plus 22/16,BP22/16,1943034617,10.0546
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 23/16,Bualuang Thanasarn Plus 23/16,BP23/16,3834013207,10.0528
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 24/16,Bualuang Thanasarn Plus 24/16,BP24/16,1662474807,10.0507
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 25/16,Bualuang Thanasarn Plus 25/16,BP25/16,2222092061,10.0468
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 26/16,Bualuang Thanasarn Plus 26/16,BP26/16,1924266538,10.0448
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 27/16,Bualuang Thanasarn Plus 27/16,BP27/16,1662938739,10.0431
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 28/16,Bualuang Thanasarn Plus 28/16,BP28/16,1649372492,10.0383
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 29/16,Bualuang Thanasarn Plus 29/16,BP29/16,2550079062,10.0343
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 30/16,Bualuang Thanasarn Plus 30/16,BP30/16,1851658866,10.0294
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 31/16,Bualuang Thanasarn Plus 31/16,BP31/16,3246101499,10.0283
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 32/16,Bualuang Thanasarn Plus 32/16,BP32/16,3196716440,10.0242
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 33/16,Bualuang Thanasarn Plus 33/16,BP33/16,2303224822,10.0175
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 34/16,Bualuang Thanasarn Plus 34/16,BP34/16,3329967328,10.0167
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 35/16,Bualuang Thanasarn Plus 35/16,BP35/16,3268459896,10.0137
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 36/16,Bualuang Thanasarn Plus 36/16,BP36/16,3367393102,10.0115
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 37/16,Bualuang Thanasarn Plus 37/16,BP37/16,2172556564,10.0094
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 38/16,Bualuang Thanasarn Plus 38/16,BP38/16,2239638627,10.005
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 39/16,Bualuang Thanasarn Plus 39/16,BP39/16,2254111563,9.9997
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 40/16,Bualuang Thanasarn Plus 40/16,BP40/16,2413586442,9.9992
BBLAM,กองทุนรวมบัวหลวงธนสารพลัส 41/16,Bualuang Thanasarn Plus 41/16,BP41/16,1723105819,10.0003
BBLAM,กองทุนเปิดบัวแก้ว,Buakaew Open-end Fund,BKA,5753965074,41.1995
BBLAM,กองทุนเปิดบัวแก้ว 2,Buakaew 2 Open-end Fund,BKA2,737255191.4,34.2787
BBLAM,กองทุนเปิดบัวแก้วปันผล,Buakaew Income Fund,BKD,3371676247,4.8302
BBLAM,กองทุนเปิดบัวหลวง Small-Mid Cap เพื่อการเลี้ยงชีพ,Bualuang Small-Mid Cap RMF,B-SM-RMF,1218385585,12.93
BBLAM,กองทุนเปิดบัวหลวงร่วมทุน,BUALUNG CAPITAL OPEN-END FUND,BCAP,965277457.1,3.9064
BBLAM,กองทุนเปิดบัวหลวงมันนี่มาร์เก็ตเพื่อการเลี้ยงชีพ,Bualuang Money Market RMF,MM-RMF,1688463908,11.3348
BBLAM,กองทุนเปิดบัวหลวงโครงสร้างพื้นฐาน,Bualuang Infrastructure Open-end Fund,B-INFRA,1862531529,28.6441
BBLAM,กองทุนเปิดบัวหลวงโครงสร้างพื้นฐานเพื่อการเลี้ยงชีพ,Bualuang Infrastructure RMF,IN-RMF,4282351078,24.215
BBLAM,กองทุนเปิดบัวหลวงเฟล็กซิเบิ้ลเพื่อการเลี้ยงชีพ,Bualuang Flexible RMF,BFLRMF,15670676879,61.1825
BBLAM,กองทุนเปิดบัวหลวงสิริผลบรรษัทภิบาล,Bualuang Siriphol Corporate Governance,BSIRICG,5487584926,8.7053
BBLAM,กองทุนเปิดบัวหลวงสิริผลบรรษัทภิบาลเพื่อการเลี้ยงชีพ,Bualuang Siriphol Corporate Governance RMF,BSIRIRMF,3890997255,9.747
BBLAM,กองทุนเปิดบัวหลวงหุ้น 25% เพื่อการเลี้ยงชีพ,Bualuang Equity 25% RMF,B25RMF,3298625322,14.7086
BBLAM,กองทุนเปิดบัวหลวงหุ้นระยะยาว,Bualuang Long - Term Equity Fund,B-LTF,46417285752,40.1872
BBLAM,กองทุนเปิดบัวหลวงหุ้นระยะยาว 75/25,Bualuang Long - Term Equity Fund 75/25,BLTF75,31954818187,28.4539
BBLAM,กองทุนเปิดบัวหลวงหุ้นอาเซียน,Bualuang ASEAN Equity Fund,B-ASEAN,672027787.6,10.8973
BBLAM,กองทุนเปิดบัวหลวงตราสารหนี้,Bualuang Fixed Income Fund,BFIXED,80918871968,11.7305
BBLAM,กองทุนเปิดบัวหลวงตราสารหนี้ภาครัฐ,Bualuang Treasury Fund,B-TREASURY,7106969560,10.7876
BBLAM,กองทุนเปิดบัวหลวงตราสารหนี้เพื่อการเลี้ยงชีพ,Bualuang Fixed-income RMF,BFRMF,8807391285,14.2215
BBLAM,กองทุนเปิดบัวหลวงตราสารทุนเพื่อการเลี้ยงชีพ,Bualuang Equity RMF,BERMF,8422885939,94.3389
BBLAM,กองทุนเปิดบัวหลวงทศพล,Bualuang Top-Ten Fund,BTP,5987728429,45.1628
BBLAM,กองทุนเปิดบัวหลวงธนคม,ฺBualuang Thanakom Open-end Fund,BTK,1189135845,15.6632
BBLAM,กองทุนเปิดบัวหลวงธนทวี,ฺBualuang Thanatavee Fixed Income Fund,B-TNTV,1.05541E+11,12.8774
BBLAM,กองทุนเปิดบัวหลวงปัจจัย 4,Bualuang Basic Open-end Fund,BBASIC,1081939125,27.766
BBLAM,กองทุนเปิดบัวหลวงปัจจัย 4 เพื่อการเลี้ยงชีพ,Bualuang Basic RMF,BBASICRMF,1797532239,12.4297
BBLAM,กองทุนเปิดบัวหลวงปัจจัย 4 หุ้นระยะยาวปันผล,Bualuang Basic Dividend LTF,BBASICDLTF,2481859518,10.0146
BBLAM,กองทุนเปิดบีแอ็คทีฟ,ฺB-active Open-end Fund,B-ACTIVE,459418827.1,22.9975
BBLAM,กองทุนเปิดบีเฟล็กซ์,ฺB-flex Open-end Fund,B-FLEX,1669085977,19.4218
BBLAM,กองทุนผสมบีซีเนียร์สำหรับวัยเกษียณ,B Senior Citizen Mixed Fund,B-SENIOR,6666923789,11.5262
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) รีไทร์เมนท์ โซลูชั่น เพื่อการเลี้ยงชีพ,CIMB-Principal (FAM) Retirement Solution RMF,CIMB-PRINCIPAL (FAM) RSRMF,4361080.64,11.6348
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) เพิ่มพูนทรัพย์,CIMB-Principal (FAM) Value Plus Fund,CIMB-PRINCIPAL (FAM) VF,1178321582,11.3661
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) เพิ่มพูนทรัพย์ ฟอร์เรน เบลนด์ เพื่อการเลี้ยงชีพ,CIMB-Principal (FAM) Foreign Blend Value Plus Retirement Mutual Fund,CIMB-PRINCIPAL (FAM) FBVRMF,5300217.03,11.1898
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) หุ้นระยะยาว,CIMB-Principal (FAM) Long – Term Equity Fund,CIMB-PRINCIPAL (FAM) LTF,65580024.72,26.7652
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) หุ้นปันผล,CIMB-Principal (FAM) Dividend Equity Fund,CIMB-PRINCIPAL (FAM) DEF,53841854.82,13.7242
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) SET เพิ่มพูนปันผล,CIMB-Principal (FAM) Enhanced Equity Fund,CIMB-PRINCIPAL (FAM) EEF,1313654253,22.447
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) SET100 เพื่อการเลี้ยงชีพ,CIMB-Principal (FAM) SET100 Retirement Mutual Fund,CIMB-PRINCIPAL (FAM) SET100RMF,11414028.69,16.2807
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) ตราสารหนี้,CIMB-Principal (FAM) Fixed Income Fund,CIMB-PRINCIPAL (FAM) FI,3662210180,12.849
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล (แฟม) ตราสารหนี้พลัส โรล โอเวอร์ 6เดือน6,CIMB-Principal (FAM) Fixed Income Plus Roll Over 6Month6 Fund,CIMB-PRINCIPAL (FAM) FIPR6M6,92562143.77,11.0609
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล เอ็นแฮนซ์ รีเทิร์น 6M10,CIMB-Principal Enhanced Return 6M10 Fund,CIMB-PRINCIPAL ER 6M10,929801940.6,10.0549
CIMB-PRINCIPAL,กองทุนเปิดซีไอเอ็มบี-พรินซิเพิล เอ็นแฮนซ์ รีเทิร์น 6M11,CIMB-Principal Enhanced Return 6M11 Fund,CIMB-PRINCIPAL ER 6M11,420819067.9,10.0455
